"PaperNo","authors","title","Group","category"
1,"Andre Python and Aliya Tskhay","Mapping terrorist activities in Central Asia: Regional view on domestic issue 1990-2012","Early-career author (PhD or Masters student)","Poster (max one page)"
10,"Andrew Curtis, Eric Eric Jefferis, Lauren Porter and Eric Shook","Mapping the Health and Crime Nexus Using Spatial Video and Geonarratives: Examples from the United States",,"Poster (max one page)"
12,"Andrew Curtis, Jason Blackburn, Sarah Smiley, Afsar Ali and John Glenn Morris","The Utility of Spatial Video for Assessing Risk in Challenging Environments: A Case Study of Cholera in Haiti",,"Poster (max one page)"
29,"Jacqueline Curtis and Kim Gilhuly","Understanding  Environmental Perceptions and Behaviors through use of Geospatial Technologies: Implications for Health Impact Assessments (HIAs)",,"Poster (max one page)"
59,"Anthonia Ijeoma Onyeahialam and Michael Woods","Telling the Story of Globalisation through an Integration and Analysis of Big Data sets","CDRC early-career bursary for 'Innovations in GISRUK early-career bursary","Poster (max one page)"
74,"Nasser Alzeer and Suliman Aldaham","Using the geographical information systems (ArcMapÂ®) to design a program measuring the magnitude and direction changes in land use: â€œA case study of Al-Olaya municipality, Riyadh city, during 2004-2012â€",,"Poster (max one page)"
88,"Tom Wilson and Robin Lovelace","Exploring the sentiment of trail users' tweets.","Early-career author (PhD or Masters student) GISRUK early-career bursary","Poster (max one page)"
93,"Karen Mullin","The Social Distribution of Ecosystem Services under Land-Use Change in England","Early-career author (PhD or Masters student)","Poster (max one page)"
117,"Pia Wohland, Seraphim Alvanides and Carol Jagger","Understanding health expectancy inequalities across local areas in England and Wales",,"Poster (max one page)"
120,"KonÅ¡tantÃ­n Rosina and Pavol HurbÃ¡nek","Dasymetric population disaggregation using local neighbourhoods in feature spaces derived from ancillary data","Early-career author (PhD or Masters student)","Poster (max one page)"
6,"Adrian Tear","Replaying the campaign: location and sentiment in social media interactions captured during US 2012 and Scottish 2014 elections","Early-career author (PhD or Masters student)","Extended abstract (max 1,500 words)"
87,"Matt Duckham, Antony Galton and Alan Both","Identifying perpetuation in processes driving fish movement",,"Extended abstract (max 1,500 words)"
94,"Jianquan Cheng, Jianguang Tu and Liangxiu Han","Parallel computation for accessibility based planning support",,"Extended abstract (max 1,500 words)"
108,"Andrew Miles and Lesley Browne","A Methodology for Assessment of Rooftop Solar Potential for Widely Distributed Property Holdings: Challenges, Lessons Learned and Future Directions",,"Extended abstract (max 1,500 words)"
130,"Ebiteme Botu, Jia Wang and Michael Worboys","Evaluating Pedestrian Routes","Early-career author (PhD or Masters student)","Extended abstract (max 1,500 words)"
2,"Adam Dennett, Adam Crymble, Tim Hitchcock and Louise Falcini","Ephemeral Londoners: Modelling Lower Class Migration to Eighteenth Century London",,"Extended abstract (max 1,500 words)"
3,"Usman Lawal Gulma","Mapping of Spatial Distribution of Tuberculosis Cases in Kebbi state Nigeria 2008-2011","Early-career author (PhD or Masters student)","Extended abstract (max 1,500 words)"
4,"Doug Specht","GIS, Big Data and Lessons from John Snow","Early-career author (PhD or Masters student)","Extended abstract (max 1,500 words)"
5,"Angelos Mimis","Visualize and interactively design weight matrices",,"Extended abstract (max 1,500 words)"
9,"Eftychia Rousi, Christina Anagnostopoulou, Angelos Mimis and Marianthi Stamou","Constrained clustering of the precipitation regime in Greece",,"Extended abstract (max 1,500 words)"
